COHORTE;PERÍODO ACADÉMICO CURSA;SEDE;CAMPUS;CARRERA;ÁREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2016 - 2017;2016 - 2017;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;69
2016 - 2017;2016 - 2017;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;50
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;124
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;38
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;28
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;106
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;50
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;132
2016 - 2017;2016 - 2017;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;25
2016 - 2017;2016 - 2017;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;17
2016 - 2017;2016 - 2017;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;53
2016 - 2017;2016 - 2017;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;61
2016 - 2017;2016 - 2017;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;137
2016 - 2017;2016 - 2017;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;91
2016 - 2017;2016 - 2017;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;165
2016 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;49
2016 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;37
2016 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;95
2016 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;33
